graph_type,n,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_empirical_mean,pfa_spectral_emp_mean,pfa_spectral_spec_mean,pd_mc_emp_mean,pd_spectral_emp_mean,pd_mc_spec_mean,pd_spectral_spec_mean,degree_cv_mean
star,15,0.35,2.0,13.839627544356162,13.848693640674998,0.0014919036801997667,0.01,0.010105202913579515,0.010000000007694854,0.1117,0.11296658311625603,0.1116,0.11251873597487679,1.737198072430758
star,15,0.35,3.0,13.823560160141119,13.848693640674998,0.002210228943594292,0.01,0.010112972271238285,0.010000000007694854,0.32394,0.32332306945926576,0.32232,0.32065491449992944,1.737198072430758
star,30,0.15,1.0,5.027661873806185,5.120970975499109,0.018870012575426847,0.01,0.010837637478445138,0.010000000000132847,0.06286,0.061421179109194965,0.0607,0.05927712782160347,2.5997347344787256
star,30,0.15,1.5,5.1882488498774375,5.120970975499109,-0.012830017146336812,0.01,0.009468469292632342,0.010000000000132847,0.1136,0.11237826825158863,0.1176,0.11684570277120251,2.5997347344787256
star,30,0.15,2.0,5.186282885524972,5.120970975499109,-0.011104351221280501,0.01,0.009608700955454163,0.010000000000132847,0.46242,0.4639495165090623,0.48522,0.4848309308566175,2.5997347344787256
star,30,0.15,3.0,5.233126338269642,5.120970975499109,-0.02093251888738935,0.01,0.009155088502015029,0.010000000000132847,1.0,0.9999999627894246,1.0,0.9999999902166519,2.5997347344787256
star,30,0.25,1.0,14.082043542605684,14.224920733057044,0.010485971957302975,0.01,0.010469786980979456,0.010000000000129239,0.04514,0.04502444185797224,0.044579999999999995,0.04429993426981773,2.5997347344787256
star,30,0.25,1.5,14.196108326667863,14.224920733057044,0.0022250383243987903,0.01,0.010104950708276838,0.010000000000129239,0.05556,0.05515676804112231,0.05504,0.05493271613882582,2.5997347344787256
star,30,0.25,2.0,14.17615673787916,14.224920733057044,0.0035527436240355564,0.01,0.010157687036669338,0.010000000000129239,0.07538,0.07329132989526466,0.07465999999999999,0.07267801880453065,2.5997347344787256
star,30,0.25,3.0,14.348603002878548,14.224920733057044,-0.007662902027359593,0.01,0.009725530840861918,0.010000000000129239,0.24264000000000002,0.24264529654656525,0.24862,0.24868032368928397,2.5997347344787256
star,30,0.35,1.0,28.00619200790145,27.88084442825832,-0.004191445028441178,0.01,0.009836521641728602,0.01000000000012774,0.03104,0.03107481063593953,0.03146,0.031349435054623655,2.5997347344787256
star,30,0.35,1.5,27.673975163041803,27.88084442825832,0.00782800862884912,0.01,0.010354584976846016,0.01000000000012774,0.04636,0.04683733841851723,0.045840000000000006,0.04628558564827537,2.5997347344787256
