graph_type,n,sigma,amplitude,repetition,edges,mean_degree,degree_std,degree_cv,trace_L,trace_L2,lambda2,lambda_max,tau_empirical,tau_spectral,tau_relative_error,pfa_empirical,pfa_spectral_at_emp_tau,pfa_spectral_at_spec_tau,pd_mc_emp_tau,pd_spectral_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_spectral_spec_tau,pd_error_spec_tau
star,15,0.15,3.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.4814734031346677,2.543638043315023,0.02505150371623059,0.01,0.011091731811071648,0.010000000007983678,1.0,0.9999999999999998,2.220446049250313e-16,1.0,0.9999999999999996,4.440892098500626e-16
star,15,0.15,3.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.564891141561225,2.543638043315023,-0.008286159947227026,0.01,0.009652566648909233,0.010000000007983678,1.0,0.9999999999999996,4.440892098500626e-16,1.0,0.9999999999999996,4.440892098500626e-16
star,15,0.15,3.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.574117003245608,2.543638043315023,-0.011840549552392148,0.01,0.009505629374338631,0.010000000007983678,1.0,0.9999999999999996,4.440892098500626e-16,1.0,0.9999999999999996,4.440892098500626e-16
star,15,0.15,3.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,2.6447931931622977,2.543638043315023,-0.038246903428515854,0.01,0.008453294912616371,0.010000000007983678,1.0,0.9999999999999987,1.3322676295501878e-15,1.0,0.9999999999999996,4.440892098500626e-16
star,15,0.25,1.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,6.91359570489474,7.06566112011741,0.02199512695181315,0.01,0.010955225882977593,0.01000000000724871,0.0829,0.08359926314375905,-0.0006992631437590519,0.0803,0.08128330293877636,-0.0009833029387763675
star,15,0.25,1.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,6.930184088355054,7.06566112011741,0.01954883593785067,0.01,0.0108466226626589,0.01000000000724871,0.0919,0.0833383696823775,0.008561630317622498,0.0898,0.08128330293877636,0.008516697061223641
star,15,0.25,1.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.139598060539015,7.06566112011741,-0.0103558967598273,0.01,0.009566849133057498,0.01000000000724871,0.0784,0.08021582668703778,-0.0018158266870377804,0.0791,0.08128330293877636,-0.0021833029387763603
star,15,0.25,1.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.324907278295986,7.06566112011741,-0.0353924149929834,0.01,0.008563696524723108,0.01000000000724871,0.0745,0.07769414747796727,-0.0031941474779672713,0.0793,0.08128330293877636,-0.0019833029387763684
star,15,0.25,1.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,6.9481306634891595,7.06566112011741,0.016915406793635294,0.01,0.010730367611675062,0.01000000000724871,0.0822,0.08305845039580223,-0.0008584503958022349,0.0811,0.08128330293877636,-0.0001833029387763585
star,15,0.25,1.5,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.052525400398027,7.06566112011741,0.001862555463981956,0.01,0.010079033478877675,0.01000000000724871,0.1228,0.12026961300047469,0.002530386999525319,0.1227,0.11987242910867527,0.0028275708913247377
star,15,0.25,1.5,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.038746615808823,7.06566112011741,0.003823763771825135,0.01,0.010162628572965238,0.01000000000724871,0.1176,0.12068963667914963,-0.003089636679149632,0.1168,0.11987242910867527,-0.0030724291086752648
star,15,0.25,1.5,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.40354531323622,7.06566112011741,-0.045638161019253005,0.01,0.008171191495798091,0.01000000000724871,0.1107,0.11065787977665488,4.212022334512677e-05,0.1195,0.11987242910867527,-0.0003724291086752707
star,15,0.25,1.5,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.1092589610090835,7.06566112011741,-0.006132543649174581,0.01,0.009742207440944228,0.01000000000724871,0.1219,0.11857645259951123,0.0033235474004887633,0.1227,0.11987242910867527,0.0028275708913247377
star,15,0.25,1.5,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.076586371659143,7.06566112011741,-0.0015438589975369766,0.01,0.009934748758594347,0.01000000000724871,0.1202,0.1195444692683805,0.0006555307316195025,0.1204,0.11987242910867527,0.0005275708913247273
star,15,0.25,2.0,0,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,6.968844291128135,7.06566112011741,0.013892809904295056,0.01,0.010597779168771582,0.01000000000724871,0.2531,0.25077106995762777,0.0023289300423722237,0.2433,0.24058223464945883,0.0027177653505411625
star,15,0.25,2.0,1,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.179800111525559,7.06566112011741,-0.015897238033817186,0.01,0.00933944771880646,0.01000000000724871,0.2287,0.22935222528637925,-0.0006522252863792599,0.2389,0.24058223464945883,-0.0016822346494588247
star,15,0.25,2.0,2,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,6.974837402197787,7.06566112011741,0.013021625119318763,0.01,0.010559732811722844,0.01000000000724871,0.2487,0.2501219547055825,-0.0014219547055825121,0.2392,0.24058223464945883,-0.00138223464945883
star,15,0.25,2.0,3,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.114474048093215,7.06566112011741,-0.006861073305747454,0.01,0.00971183121311664,0.01000000000724871,0.2338,0.23567910301752568,-0.0018791030175256684,0.2382,0.24058223464945883,-0.002382234649458831
star,15,0.25,2.0,4,14,1.8666666666666667,3.2427697352040816,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,7.285110641617806,7.06566112011741,-0.030123018344669017,0.01,0.008769643802825355,0.01000000000724871,0.2158,0.2196936464362413,-0.0038936464362413215,0.2384,0.24058223464945883,-0.002182234649458825
