graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,degree_std,degree_cv,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr_mean,predicted_pd_mean,mean_local_gesnr,median_local_gesnr,predicted_pd_local,residual_mean,residual_local,star_center_observed_pd,star_center_predicted_pd,star_leaf_observed_pd,star_leaf_predicted_pd,repetition
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.578979238637139,0.011666666666666667,0.27125,5.941564332590258,0.862041573191857,5.924323186089439,3.1829808924590672,0.5874465162331878,-0.590791573191857,-0.3161965162331878,1.0,0.9990817173016192,0.21954484605087016,0.5582408058494837,0
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.621536304723933,0.008,0.24675,5.941564332590258,0.862041573191857,5.613982549074681,3.1829808924590672,0.5841402093972967,-0.615291573191857,-0.3373902093972967,1.0,0.9990817173016192,0.199734395750332,0.5582408058494838,1
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.606398953730627,0.009333333333333334,0.27075,5.941564332590258,0.862041573191857,5.903633810288456,3.1829808924590672,0.5872260957774618,-0.5912915731918571,-0.3164760957774618,1.0,0.9990817173016193,0.2194273481402194,0.5582408058494837,2
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.512216726163246,0.011,0.303,5.941564332590258,0.862041573191857,5.965701937691407,3.1829808924590672,0.5878873571446399,-0.559041573191857,-0.2848873571446399,1.0,0.9990817173016192,0.25274725274725274,0.5582408058494838,3
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4060198734845764,0.008333333333333333,0.32825,5.941564332590258,0.862041573191857,5.9760466255919,3.1829808924590672,0.587997567372503,-0.533791573191857,-0.259747567372503,1.0,0.9990817173016193,0.27962466487935655,0.5582408058494837,4
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.687254958152424,0.009,0.2355,5.941564332590258,0.862041573191857,6.0174253771938675,3.1829808924590672,0.5884384082839551,-0.6265415731918571,-0.3529384082839551,1.0,0.9990817173016191,0.17928073000536768,0.5582408058494837,5
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.475297585869907,0.01,0.301,5.941564332590258,0.862041573191857,6.048459440895344,3.1829808924590672,0.5887690389675443,-0.561041573191857,-0.2877690389675443,1.0,0.9990817173016191,0.24899274778404512,0.5582408058494839,6
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4580775433674007,0.012,0.32475,5.941564332590258,0.862041573191857,6.172595695701248,3.1829808924590672,0.5900915617019007,-0.537291573191857,-0.2653415617019007,1.0,0.9990817173016192,0.2721638372406359,0.5582408058494838,7
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5276258737024673,0.013,0.291,5.941564332590258,0.862041573191857,6.058804128795835,3.1829808924590672,0.5888792491954072,-0.571041573191857,-0.29787924919540726,1.0,0.9990817173016193,0.23804406233207953,0.5582408058494838,8
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4557255229482666,0.014333333333333333,0.3225,5.941564332590258,0.862041573191857,6.131216944099279,3.1829808924590672,0.5896507207904486,-0.539541573191857,-0.26715072079044855,1.0,0.9990817173016191,0.27052489905787347,0.5582408058494837,9
star,15,0.15,1.25,14,1.8666666666666667,3.2427697352040816,1.737198072430758,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.4610109232485113,0.010333333333333333,0.31625,5.941564332590258,0.862041573191857,6.038114752994852,3.1829808924590672,0.5886588287396812,-0.545791573191857,-0.27240882873968125,1.0,0.9990817173016192,0.26557465091299676,0.5582408058494838,10
