noise,fixed_tau,empirical_tau,gaussian_tau,fixed_pfa,empirical_pfa,gaussian_pfa,fixed_pd,empirical_pd,gaussian_pd,repetition
0.3,0.88080689542505,7.448640957856649,6.739892429522176,0.9983333333333333,0.014,0.028,1.0,0.5466666666666666,0.6576666666666666,2
0.3,0.88080689542505,7.577413921532165,6.815689198435569,0.9986666666666667,0.010666666666666666,0.023,1.0,0.5386666666666666,0.6596666666666666,3
0.3,0.88080689542505,7.900118707845256,6.93663824753442,0.998,0.008,0.027333333333333334,1.0,0.495,0.6416666666666667,4
0.3,0.88080689542505,7.5452331898396725,6.82378023915148,0.9973333333333333,0.010333333333333333,0.02266666666666667,1.0,0.5613333333333334,0.6746666666666666,5
0.3,0.88080689542505,7.443498282013252,6.758732531847548,0.9996666666666667,0.014666666666666666,0.027333333333333334,1.0,0.562,0.6716666666666666,6
0.3,0.88080689542505,7.636614125687443,6.770909469579956,0.9983333333333333,0.014,0.035666666666666666,1.0,0.5296666666666666,0.6743333333333333,7
0.3,0.88080689542505,7.521179132212653,6.867153213920739,0.998,0.011,0.025666666666666667,1.0,0.5263333333333333,0.6416666666666667,8
0.3,0.88080689542505,7.867905309190816,6.963502354165229,0.999,0.006,0.018,1.0,0.495,0.641,9
0.3,0.88080689542505,7.695728815221901,6.8204527622352735,0.999,0.010333333333333333,0.025666666666666667,1.0,0.5266666666666666,0.674,10
0.3,0.88080689542505,7.701637591089375,6.782844840154575,0.998,0.009666666666666667,0.02666666666666667,1.0,0.518,0.6626666666666666,11
0.3,0.88080689542505,7.571295239255009,6.806799732738268,0.9966666666666667,0.011666666666666667,0.028666666666666667,1.0,0.541,0.6596666666666666,12
0.3,0.88080689542505,7.796043457260063,6.978248761708235,0.9976666666666667,0.010666666666666666,0.021333333333333333,1.0,0.517,0.6446666666666667,13
0.3,0.88080689542505,7.731836931794852,6.825246337498065,0.9993333333333333,0.009666666666666667,0.027666666666666666,1.0,0.5176666666666667,0.6656666666666666,14
0.3,0.88080689542505,7.31541011886381,6.682453533098002,0.9986666666666667,0.016,0.03166666666666667,1.0,0.5986666666666667,0.7,15
0.3,0.88080689542505,7.805200515430692,6.902677810827144,0.9986666666666667,0.009,0.027666666666666666,1.0,0.503,0.6423333333333333,16
0.3,0.88080689542505,7.589524740125158,6.927833794133734,0.9973333333333333,0.014,0.027333333333333334,1.0,0.535,0.649,17
0.3,0.88080689542505,7.908594130012084,6.851493044800575,0.9983333333333333,0.005,0.025333333333333333,1.0,0.49,0.6643333333333333,18
0.3,0.88080689542505,7.701075883031832,6.9556204554208385,0.998,0.01,0.023666666666666666,1.0,0.516,0.634,19
0.3,0.88080689542505,7.7950091700570034,6.885704959762187,0.9996666666666667,0.009666666666666667,0.021666666666666667,1.0,0.51,0.6583333333333333,20
0.3,0.88080689542505,7.769034439505174,6.8638681054747135,0.999,0.010333333333333333,0.022,1.0,0.5183333333333333,0.6613333333333333,21
0.3,0.88080689542505,7.874506298932554,6.966224279580908,0.997,0.010333333333333333,0.024333333333333332,1.0,0.469,0.6186666666666667,22
0.3,0.88080689542505,8.000051578270877,6.9446043438560245,0.9973333333333333,0.007666666666666666,0.024666666666666667,1.0,0.48233333333333334,0.6463333333333333,23
0.3,0.88080689542505,7.751289680987199,6.874210754847706,0.9976666666666667,0.008,0.024666666666666667,1.0,0.5196666666666667,0.656,24
0.3,0.88080689542505,7.566405910491461,6.803951526280386,0.9983333333333333,0.010666666666666666,0.02266666666666667,1.0,0.5476666666666666,0.664,25
0.3,0.88080689542505,7.5804968041624665,6.842714634907491,0.9986666666666667,0.012666666666666666,0.02666666666666667,1.0,0.5373333333333333,0.6463333333333333,26
0.3,0.88080689542505,7.749800848913077,6.857239269759813,0.9976666666666667,0.007333333333333333,0.025,1.0,0.514,0.6506666666666666,27
0.3,0.88080689542505,7.659018402641811,6.84833327553825,0.998,0.010666666666666666,0.024333333333333332,1.0,0.5303333333333333,0.6553333333333333,28
0.3,0.88080689542505,7.850993868063483,6.900908989640753,0.998,0.012,0.027333333333333334,1.0,0.49366666666666664,0.6373333333333333,29
0.4,0.88080689542505,13.647081998548282,12.21559448991238,1.0,0.012666666666666666,0.02266666666666667,1.0,0.218,0.3263333333333333,0
0.4,0.88080689542505,13.739150427090555,12.156450981917294,1.0,0.011666666666666667,0.023,1.0,0.22566666666666665,0.351,1
0.4,0.88080689542505,13.39462737758466,11.94286643158997,0.9996666666666667,0.013666666666666667,0.03233333333333333,1.0,0.22966666666666666,0.3506666666666667,2
0.4,0.88080689542505,13.874629827193145,12.183871044730148,1.0,0.010333333333333333,0.027666666666666666,1.0,0.21,0.33666666666666667,3
