graph_type,weight_mode,n,noise_model,sigma,amplitude,repetition,mean_degree,degree_cv,trace_L,trace_L2,lambda2_L,lambda_max_L,mean_variance,variance_cv,mean_abs_correlation,sigma_condition_number,theoretical_mean_q,spectral_mean_q,mean_q_relative_difference,theoretical_var_q,spectral_var_q,var_q_relative_difference,tau_empirical,tau_spectral,tau_relative_error,pfa_mc_emp_tau,pfa_mc_spec_tau,pfa_theory_emp_tau,pfa_theory_spec_tau,pd_mc_emp_tau,pd_theory_emp_tau,pd_error_emp_tau,pd_mc_spec_tau,pd_theory_spec_tau,pd_error_spec_tau,max_abs_constant_shift,mean_abs_constant_shift,mean_max_noncentrality
star,unweighted,15,heteroscedastic,0.3,1.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.3386098999743528,3.338609899974353,1.330162022982901e-16,10.154634807815004,10.154634807815006,1.7493064723835926e-16,16.742933105617364,15.922988479272087,-0.04897257972500533,0.0064,0.0084,0.008137129669174792,0.010000000088661642,0.0414,0.04042864738908136,0.0009713526109186368,0.0456,0.044718528592518264,0.0008814714074817376,0.0,0.0,8.740290051819667
star,unweighted,15,heteroscedastic,0.3,1.75,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.3386098999743528,3.338609899974353,1.330162022982901e-16,10.154634807815004,10.154634807815006,1.7493064723835926e-16,16.742933105617364,15.922988479272087,-0.04897257972500533,0.0064,0.0084,0.008137129669174792,0.010000000088661642,0.078,0.085249012902801,-0.007249012902801,0.0846,0.0902531913074439,-0.0056531913074439055,0.0,0.0,26.76713828369773
star,unweighted,15,heteroscedastic,0.3,3.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000001,0.4681936683955389,0.0,5.444444444444444,3.3386098999743528,3.338609899974353,1.330162022982901e-16,10.154634807815004,10.154634807815006,1.7493064723835926e-16,16.742933105617364,15.922988479272087,-0.04897257972500533,0.0064,0.0084,0.008137129669174792,0.010000000088661642,0.1738,0.18138441147438222,-0.007584411474382213,0.1974,0.20594548869928217,-0.008545488699282178,0.0,0.0,78.66261046637702
star,unweighted,15,heteroscedastic,0.3,1.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000002,0.4681936683955388,0.0,5.444444444444444,3.014526801744037,3.014526801744037,0.0,7.315914691431854,7.315914691431852,-3.6421081593816107e-16,13.917918615536854,13.651819437968467,-0.019119179017998804,0.0088,0.0094,0.009236916970846165,0.009999999972452156,0.0458,0.04967823289920491,-0.0038782328992049073,0.0476,0.051454747262835096,-0.0038547472628350926,0.0,0.0,8.76000258783584
star,unweighted,15,heteroscedastic,0.3,1.75,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000002,0.4681936683955388,0.0,5.444444444444444,3.014526801744037,3.014526801744037,0.0,7.315914691431854,7.315914691431852,-3.6421081593816107e-16,13.917918615536854,13.651819437968467,-0.019119179017998804,0.0088,0.0094,0.009236916970846165,0.009999999972452156,0.0932,0.09449612446739351,-0.0012961244673935085,0.0952,0.09681305277546975,-0.0016130527754697477,0.0,0.0,26.827507925247257
star,unweighted,15,heteroscedastic,0.3,3.0,2,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.09000000000000002,0.4681936683955388,0.0,5.444444444444444,3.014526801744037,3.014526801744037,0.0,7.315914691431854,7.315914691431852,-3.6421081593816107e-16,13.917918615536854,13.651819437968467,-0.019119179017998804,0.0088,0.0094,0.009236916970846165,0.009999999972452156,0.2672,0.2726966088787291,-0.005496608878729103,0.286,0.28922952025179094,-0.0032295202517909627,0.0,0.0,78.84002329052257
star,unweighted,15,correlated,0.15,1.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.18441007380957974,0.08739973648858113,6.950413223140501,0.6188537925174917,0.6188537925174918,1.7939989025659504e-16,0.26599122367699046,0.2659912236769908,1.2521725445799319e-15,2.5431760287588987,2.641654707373151,0.03872271423630523,0.0118,0.01,0.011677383132555341,0.010000000001314013,0.1448,0.14490162927493586,-0.00010162927493584384,0.1346,0.13425799225076568,0.00034200774923431876,0.0,0.0,18.36838682224371
star,unweighted,15,correlated,0.15,1.75,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.18441007380957974,0.08739973648858113,6.950413223140501,0.6188537925174917,0.6188537925174918,1.7939989025659504e-16,0.26599122367699046,0.2659912236769908,1.2521725445799319e-15,2.5431760287588987,2.641654707373151,0.03872271423630523,0.0118,0.01,0.011677383132555341,0.010000000001314013,0.9592,0.9559491199953919,0.0032508800046081587,0.9406,0.9347016254521624,0.005898374547837593,0.0,0.0,56.25318464312135
star,unweighted,15,correlated,0.15,3.0,0,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.18441007380957974,0.08739973648858113,6.950413223140501,0.6188537925174917,0.6188537925174918,1.7939989025659504e-16,0.26599122367699046,0.2659912236769908,1.2521725445799319e-15,2.5431760287588987,2.641654707373151,0.03872271423630523,0.0118,0.01,0.011677383132555341,0.010000000001314013,1.0,1.0,0.0,1.0,0.9999999999999976,2.4424906541753444e-15,0.0,0.0,165.31548140019336
star,unweighted,15,correlated,0.15,1.0,1,1.8666666666666667,1.737198072430758,28.0,238.0,0.999999999999998,15.000000000000002,0.022500000000000006,0.18441007380957974,0.08739973648858113,6.950413223140501,0.6188537925174917,0.6188537925174918,1.7939989025659504e-16,0.26599122367699046,0.2659912236769908,1.2521725445799319e-15,2.543554927038339,2.641654707373151,0.03856798187921876,0.0088,0.0074,0.01167040312160983,0.010000000001314013,0.1434,0.1448573380361161,-0.0014573380361161126,0.1352,0.13425799225076568,0.0009420077492343082,0.0,0.0,18.36838682224371
