graph_type,weight_mode,n,noise_model,sigma,amplitude,tau_empirical_mean,tau_spectral_mean,tau_relative_error_mean,pfa_mc_emp_mean,pfa_mc_spec_mean,pfa_theory_emp_mean,pfa_theory_spec_mean,pd_mc_emp_mean,pd_theory_emp_mean,pd_mc_spec_mean,pd_theory_spec_mean,variance_cv_mean,mean_abs_correlation_mean,sigma_condition_number_mean,max_abs_constant_shift
barabasi_albert,unweighted,60,correlated,0.15,3.0,10.92738430742832,10.917857240433898,-0.0008162065920150492,0.009066666666666667,0.008733333333333334,0.00996408167184537,0.010000000042682996,1.0,0.9999999999937602,1.0,0.9999999999935779,0.031054798482740942,0.02960698178218596,5.6959949432257675,0.0
barabasi_albert,unweighted,60,correlated,0.3,1.0,44.69532242576267,44.55467017759897,-0.002904573653470489,0.008333333333333333,0.008133333333333333,0.009795970867446768,0.00999999999222062,0.0796,0.0784685175048582,0.08013333333333333,0.07925900060281128,0.03321841665037283,0.02941735984127276,5.64215931052339,0.0
barabasi_albert,unweighted,60,correlated,0.3,1.75,44.69532242576267,44.55467017759897,-0.002904573653470489,0.008333333333333333,0.008133333333333333,0.009795970867446768,0.00999999999222062,0.33126666666666665,0.33528537368618655,0.33499999999999996,0.3385135871813601,0.03321841665037283,0.02941735984127276,5.64215931052339,0.0
barabasi_albert,unweighted,60,correlated,0.3,3.0,44.69532242576267,44.55467017759897,-0.002904573653470489,0.008333333333333333,0.008133333333333333,0.009795970867446768,0.00999999999222062,0.9378000000000001,0.93467578114715,0.9398666666666666,0.9369266103462177,0.03321841665037283,0.02941735984127276,5.64215931052339,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.15,1.0,12.902467292731606,12.916899469391083,0.0012138740120637402,0.010266666666666667,0.010266666666666667,0.010148907750790007,0.010000000096050251,0.41566666666666663,0.41866565050724414,0.4141333333333333,0.4169398499929698,0.4475456528779538,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.15,1.75,12.902467292731606,12.916899469391083,0.0012138740120637402,0.010266666666666667,0.010266666666666667,0.010148907750790007,0.010000000096050251,0.9749333333333334,0.9748244057702401,0.9747333333333333,0.9746697678979922,0.4475456528779538,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.15,3.0,12.902467292731606,12.916899469391083,0.0012138740120637402,0.010266666666666667,0.010266666666666667,0.010148907750790007,0.010000000096050251,1.0,0.999999999984699,1.0,0.9999999999844725,0.4475456528779538,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.3,1.0,57.14508984670773,56.77297653778994,-0.005496562717616035,0.010733333333333333,0.010866666666666665,0.009595514195506194,0.010000000002716355,0.04853333333333334,0.052543463215577735,0.05006666666666667,0.05372561414655469,0.4475456528779538,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.3,1.75,57.14508984670773,56.77297653778994,-0.005496562717616035,0.010733333333333333,0.010866666666666665,0.009595514195506194,0.010000000002716355,0.2194,0.22322691433606834,0.2233333333333333,0.2265402678936542,0.4475456528779538,0.0,5.444444444444444,0.0
barabasi_albert,unweighted,60,heteroscedastic,0.3,3.0,57.14508984670773,56.77297653778994,-0.005496562717616035,0.010733333333333333,0.010866666666666665,0.009595514195506194,0.010000000002716355,0.7681999999999999,0.7723754635019321,0.7756,0.7802539379232395,0.4475456528779538,0.0,5.444444444444444,0.0
