graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,actual_anomaly_degree,min_degree,max_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,observed_pd,gesnr,predicted_pd,residual,repetition
star,15,0.15,2.5,14,1.8666666666666667,1.8796666666666666,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6650166551304215,0.006333333333333333,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,8
star,15,0.15,2.5,14,1.8666666666666667,1.8883333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6654456533050843,0.005333333333333333,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,9
star,15,0.15,2.5,14,1.8666666666666667,1.8623333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.3874935737986833,0.009666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,10
star,15,0.15,2.5,14,1.8666666666666667,1.858,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.554090165560716,0.013666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,11
star,15,0.15,2.5,14,1.8666666666666667,1.845,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.701138598709748,0.008666666666666666,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,12
star,15,0.15,2.5,14,1.8666666666666667,1.8623333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5975544979147,0.008666666666666666,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,13
star,15,0.15,2.5,14,1.8666666666666667,1.8883333333333334,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.6393252554959017,0.007666666666666666,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,14
star,15,0.15,2.5,14,1.8666666666666667,1.9186666666666667,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5531019704995574,0.011666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,15
star,15,0.15,2.5,14,1.8666666666666667,1.884,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5599224345077176,0.01,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,16
star,15,0.15,2.5,14,1.8666666666666667,1.819,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.5754417140063017,0.011666666666666667,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,17
star,15,0.15,2.5,14,1.8666666666666667,1.806,1.0,14.0,28.0,238.0,0.999999999999998,15.000000000000002,2.440477263597826,0.010666666666666666,1.0,23.766257330361032,0.9954240491140938,0.0045759508859062326,18
