graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95
path,10,0.2,1.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7990749999999998,0.0038826041925220083,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,2.000796187712792,0.0316869961090975,0.010650000000000001,0.001427432807894169,0.967,0.002849194161235954
path,10,0.2,2.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7975,0.003940577569208275,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,1.9923205424951067,0.029441693447096278,0.01105,0.0017457092662024978,0.9997000000000001,0.00016521373716300077
path,10,0.2,3.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.800425,0.0044719044041660865,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,2.022312032002999,0.026568326486457496,0.009650000000000002,0.0013640559488448218,1.0,0.0
path,10,0.3,0.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7984999999999995,0.004840320781018331,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,4.538475129850826,0.07461682047521397,0.010475000000000003,0.0013118732889710765,0.037000000000000005,0.0038180965221732647
path,10,0.3,1.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.798975,0.0034299815788978926,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,4.507950668994577,0.0834811412958274,0.010625,0.0013802188041641878,0.22702499999999998,0.0124694068128022
path,10,0.3,1.5,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.8014500000000002,0.0037201295676360553,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,4.532002092928968,0.0894946027099839,0.011300000000000001,0.002007647169672684,0.6386,0.016128386325782382
path,10,0.3,2.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7975249999999998,0.005097425660901886,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,4.528208893888414,0.07574655649430426,0.011150000000000002,0.001119857227742142,0.915625,0.006757504035475949
path,10,0.3,3.0,9.0,0.0,1.7999999999999996,1.9968686188423001e-16,1.7985750000000003,0.0037278494647154073,18.0,0.0,52.0,0.0,0.09788696740969274,6.240214433882188e-18,3.9021130325903064,1.9968686188423001e-16,4.554764996013145,0.047431568839844236,0.010900000000000002,0.0014158773363462484,0.9993000000000001,0.00024004999479274695
path,20,0.1,0.5,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.898775,0.002930075793882272,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,0.8205239715432636,0.008167124807717044,0.010275000000000001,0.0013214708511829973,0.5027,0.01342247936936588
path,20,0.1,1.0,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.89935,0.002206403646804357,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,0.8197032459957528,0.008626105797934847,0.0105,0.0014307929343733258,0.99745,0.0006512237872288106
path,20,0.1,1.5,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.9008750000000003,0.002164511309863348,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,0.8182218687685461,0.01081130208058311,0.010900000000000002,0.0013063227617609425,1.0,0.0
path,20,0.1,2.0,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.9019000000000001,0.003115786831435592,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,0.8264752377274031,0.008619258527048004,0.009050000000000002,0.0010709434109576865,1.0,0.0
path,20,0.1,3.0,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.90035,0.0029202476823577523,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,0.8217999763363475,0.01148406163056459,0.010425,0.0011020557584518317,1.0,0.0
path,20,0.2,0.5,19.0,0.0,1.8999999999999997,9.984343094211501e-17,1.9011999999999998,0.0027676611444550562,38.0,0.0,112.0,0.0,0.024623318809724182,0.0,3.975376681190274,5.9906058565269e-16,3.2650715503892505,0.0291934095639259,0.010625,0.001451617518857027,0.06484999999999999,0.004636626064624781
