graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.2,3.0,9,1.8,1.803,18.0,52.0,0.09788696740969276,3.902113032590307,1.9450319252483088,0.017,1.0,2
path,10,0.2,3.0,9,1.8,1.8095,18.0,52.0,0.09788696740969276,3.902113032590307,2.0764924077418834,0.0065,1.0,3
path,10,0.2,3.0,9,1.8,1.8055,18.0,52.0,0.09788696740969276,3.902113032590307,1.9788703542316695,0.0085,1.0,4
path,10,0.2,3.0,9,1.8,1.7895,18.0,52.0,0.09788696740969276,3.902113032590307,2.0703074590868127,0.007,1.0,5
path,10,0.2,3.0,9,1.8,1.7925,18.0,52.0,0.09788696740969276,3.902113032590307,1.8957168653068355,0.013,1.0,6
path,10,0.2,3.0,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,2.066558687288795,0.0095,1.0,7
path,10,0.2,3.0,9,1.8,1.818,18.0,52.0,0.09788696740969276,3.902113032590307,2.1470083696494786,0.007,1.0,8
path,10,0.2,3.0,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,2.022681056362157,0.008,1.0,9
path,10,0.2,3.0,9,1.8,1.7905,18.0,52.0,0.09788696740969276,3.902113032590307,2.008448607631559,0.009,1.0,10
path,10,0.2,3.0,9,1.8,1.7915,18.0,52.0,0.09788696740969276,3.902113032590307,2.0012093128817634,0.009,1.0,11
path,10,0.2,3.0,9,1.8,1.804,18.0,52.0,0.09788696740969276,3.902113032590307,2.0750716357635053,0.008,1.0,12
path,10,0.2,3.0,9,1.8,1.8165,18.0,52.0,0.09788696740969276,3.902113032590307,2.0153922791584886,0.008,1.0,13
path,10,0.2,3.0,9,1.8,1.791,18.0,52.0,0.09788696740969276,3.902113032590307,1.9594057884858536,0.015,1.0,14
path,10,0.2,3.0,9,1.8,1.812,18.0,52.0,0.09788696740969276,3.902113032590307,2.0057182606299926,0.011,1.0,15
path,10,0.2,3.0,9,1.8,1.785,18.0,52.0,0.09788696740969276,3.902113032590307,2.0448239249621616,0.0075,1.0,16
path,10,0.2,3.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,1.971716332122901,0.009,1.0,17
path,10,0.2,3.0,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,1.995240798240226,0.014,1.0,18
path,10,0.2,3.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,2.1184887046724916,0.0045,1.0,19
path,10,0.3,0.5,9,1.8,1.817,18.0,52.0,0.09788696740969276,3.902113032590307,4.814567738620113,0.0065,0.02,0
