graph_type,num_sensors,noise,amplitude,num_edges,mean_degree,mean_anomaly_degree,trace_L,trace_L2,lambda_2,lambda_max,tau,pfa,pd,repetition
path,10,0.1,3.0,9,1.8,1.8155,18.0,52.0,0.09788696740969276,3.902113032590307,0.5126982984973918,0.0085,1.0,5
path,10,0.1,3.0,9,1.8,1.805,18.0,52.0,0.09788696740969276,3.902113032590307,0.4866074043493753,0.0145,1.0,6
path,10,0.1,3.0,9,1.8,1.8035,18.0,52.0,0.09788696740969276,3.902113032590307,0.4652638514198493,0.0145,1.0,7
path,10,0.1,3.0,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,0.5196300693035275,0.01,1.0,8
path,10,0.1,3.0,9,1.8,1.7795,18.0,52.0,0.09788696740969276,3.902113032590307,0.5081468591371603,0.007,1.0,9
path,10,0.1,3.0,9,1.8,1.7985,18.0,52.0,0.09788696740969276,3.902113032590307,0.49276576601704436,0.0095,1.0,10
path,10,0.1,3.0,9,1.8,1.8045,18.0,52.0,0.09788696740969276,3.902113032590307,0.49319960986467576,0.0125,1.0,11
path,10,0.1,3.0,9,1.8,1.802,18.0,52.0,0.09788696740969276,3.902113032590307,0.5043433199131403,0.01,1.0,12
path,10,0.1,3.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,0.502667648181029,0.013,1.0,13
path,10,0.1,3.0,9,1.8,1.8125,18.0,52.0,0.09788696740969276,3.902113032590307,0.4953910712652622,0.008,1.0,14
path,10,0.1,3.0,9,1.8,1.802,18.0,52.0,0.09788696740969276,3.902113032590307,0.4834071643076943,0.013,1.0,15
path,10,0.1,3.0,9,1.8,1.7995,18.0,52.0,0.09788696740969276,3.902113032590307,0.4926227511616797,0.012,1.0,16
path,10,0.1,3.0,9,1.8,1.799,18.0,52.0,0.09788696740969276,3.902113032590307,0.5104151175522094,0.01,1.0,17
path,10,0.1,3.0,9,1.8,1.8025,18.0,52.0,0.09788696740969276,3.902113032590307,0.5182105981755257,0.009,1.0,18
path,10,0.1,3.0,9,1.8,1.7865,18.0,52.0,0.09788696740969276,3.902113032590307,0.48363315514881966,0.0145,1.0,19
path,10,0.2,0.5,9,1.8,1.8035,18.0,52.0,0.09788696740969276,3.902113032590307,1.9762636754784864,0.0115,0.106,0
path,10,0.2,0.5,9,1.8,1.8105,18.0,52.0,0.09788696740969276,3.902113032590307,2.0002445467621794,0.011,0.099,1
path,10,0.2,0.5,9,1.8,1.7875,18.0,52.0,0.09788696740969276,3.902113032590307,1.9949335514885378,0.0125,0.1115,2
path,10,0.2,0.5,9,1.8,1.7955,18.0,52.0,0.09788696740969276,3.902113032590307,2.032535535958719,0.01,0.092,3
path,10,0.2,0.5,9,1.8,1.798,18.0,52.0,0.09788696740969276,3.902113032590307,2.0643827273023696,0.01,0.094,4
path,10,0.2,0.5,9,1.8,1.7845,18.0,52.0,0.09788696740969276,3.902113032590307,1.901459092800791,0.0135,0.116,5
path,10,0.2,0.5,9,1.8,1.804,18.0,52.0,0.09788696740969276,3.902113032590307,1.9773925051956858,0.012,0.0955,6
path,10,0.2,0.5,9,1.8,1.813,18.0,52.0,0.09788696740969276,3.902113032590307,2.0389907278237573,0.0065,0.091,7
path,10,0.2,0.5,9,1.8,1.793,18.0,52.0,0.09788696740969276,3.902113032590307,2.006672208257173,0.0075,0.103,8
path,10,0.2,0.5,9,1.8,1.8005,18.0,52.0,0.09788696740969276,3.902113032590307,2.046834499480279,0.011,0.087,9
path,10,0.2,0.5,9,1.8,1.7815,18.0,52.0,0.09788696740969276,3.902113032590307,1.97870745820311,0.014,0.1025,10
path,10,0.2,0.5,9,1.8,1.8085,18.0,52.0,0.09788696740969276,3.902113032590307,2.0280585716379154,0.009,0.102,11
path,10,0.2,0.5,9,1.8,1.794,18.0,52.0,0.09788696740969276,3.902113032590307,2.1487354685526405,0.0065,0.082,12
path,10,0.2,0.5,9,1.8,1.809,18.0,52.0,0.09788696740969276,3.902113032590307,2.10958811398523,0.009,0.088,13
path,10,0.2,0.5,9,1.8,1.7915,18.0,52.0,0.09788696740969276,3.902113032590307,1.9478734611168262,0.014,0.115,14
path,10,0.2,0.5,9,1.8,1.806,18.0,52.0,0.09788696740969276,3.902113032590307,2.0775674304875293,0.009,0.0935,15
path,10,0.2,0.5,9,1.8,1.8085,18.0,52.0,0.09788696740969276,3.902113032590307,1.97187752888136,0.0095,0.104,16
path,10,0.2,0.5,9,1.8,1.7925,18.0,52.0,0.09788696740969276,3.902113032590307,1.9503689990396718,0.014,0.115,17
path,10,0.2,0.5,9,1.8,1.8045,18.0,52.0,0.09788696740969276,3.902113032590307,2.0729296149507763,0.008,0.0875,18
path,10,0.2,0.5,9,1.8,1.7795,18.0,52.0,0.09788696740969276,3.902113032590307,2.0531878012782254,0.012,0.095,19
