graph_type,num_sensors,noise,amplitude,num_edges_mean,num_edges_ci95,mean_degree_mean,mean_degree_ci95,mean_anomaly_degree_mean,mean_anomaly_degree_ci95,trace_L_mean,trace_L_ci95,trace_L2_mean,trace_L2_ci95,lambda_2_mean,lambda_2_ci95,lambda_max_mean,lambda_max_ci95,tau_mean,tau_ci95,pfa_mean,pfa_ci95,pd_mean,pd_ci95,gesnr,log_gesnr,pd_predicted,residual,abs_residual
grid,20,0.2,1.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.0951500000000003,0.0073336829406297,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,5.177293321137406,0.0682995117389871,0.010125,0.0017105732341743,0.9568500000000002,0.0042611172490939,7.576825174189849,2.025094269460114,0.9209214286185468,0.035928571381453445,0.035928571381453445
grid,20,0.2,2.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.10005,0.0058238113582809,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,5.164130747200108,0.0742609012257616,0.0108,0.0017172458978504,0.9996000000000004,0.0001524853746222,13.491235933636524,2.6020402845282478,0.9807794545200347,0.0188205454799657,0.0188205454799657
grid,20,0.2,3.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.1023000000000005,0.0057065433172437,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,5.171353811371281,0.0505027995266344,0.00995,0.0014586084933394,1.0,0.0,30.37731255401408,3.4136960322281915,0.9975539803198511,0.002446019680148903,0.002446019680148903
grid,20,0.3,0.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.102175,0.006588738122936,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,11.576463831411818,0.1221066924454041,0.011525,0.0015502906179165,0.0289999999999999,0.0020334145511533,0.37501343914192153,-0.9807934159420909,0.005259211414527803,0.023740788585472097,0.023740788585472097
grid,20,0.3,1.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.098775,0.0070437662585624,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,11.646050657480435,0.1237884247948835,0.009575,0.0014951868568316,0.16075,0.0083578667008677,1.4984096898169934,0.4044043389027221,0.15507923962758402,0.005670760372415984,0.005670760372415984
grid,20,0.3,1.5,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.09315,0.0076593590634698,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,11.591847035710792,0.162392578750925,0.0104,0.0014459042699621,0.5445249999999999,0.0184053171650848,3.3653018844960427,1.213517672147318,0.5930670735950627,-0.048542073595062796,0.048542073595062796
grid,20,0.3,2.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.10265,0.004916528963876,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,11.577154973576445,0.1049667316731158,0.010675,0.0013991330210263,0.889875,0.0056555939471232,6.001133769454955,1.791948412952891,0.865051548990089,0.024823451009911013,0.024823451009911013
grid,20,0.3,3.0,31.0,0.0,3.1000000000000005,1.9968686188423e-16,3.100925,0.005707816482684,62.0,0.0,264.0,0.0,0.3819660112501049,2.4960857735528755e-17,7.032247551122994,3.9937372376846e-16,11.538311654167195,0.0918655314618851,0.010625,0.0010201195750344,0.9997750000000002,0.0001118502288071,13.49504388236056,2.6023224982142596,0.9807930732769352,0.01898192672306498,0.01898192672306498
grid,40,0.1,0.5,67.0,0.0,3.35,0.0,3.3489750000000003,0.0084045995521249,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764377e-17,7.512389811858588,3.9937372376846e-16,2.2931926820609347,0.0204294383095975,0.010425,0.0014348058918782,0.38315,0.0147708534550131,2.4128963739138003,0.8808278408031225,0.3833653642450329,-0.00021536424503293405,0.00021536424503293405
grid,40,0.1,1.0,67.0,0.0,3.35,0.0,3.357175,0.0071015842969238,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764377e-17,7.512389811858588,3.9937372376846e-16,2.2898690907276795,0.0173683504631073,0.010575,0.0013643801561611,0.9963250000000002,0.0005831444255522,9.675217502781072,2.269567719570758,0.9561012041132658,0.040223795886734415,0.040223795886734415
grid,40,0.1,1.5,67.0,0.0,3.35,0.0,3.3514749999999998,0.0069864826592047,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764377e-17,7.512389811858588,3.9937372376846e-16,2.300274177575461,0.0189079143739824,0.01075,0.0012221598655012,1.0,0.0,21.73227834572213,3.0787986367115296,0.9942526001897923,0.005747399810207665,0.005747399810207665
grid,40,0.1,2.0,67.0,0.0,3.35,0.0,3.3495000000000004,0.0063911914711619,134.0,0.0,602.0,0.0,0.1974165699222627,1.2480428867764377e-17,7.512389811858588,3.9937372376846e-16,2.289105641813255,0.014465549552185,0.010325,0.0013550865383125,1.0,0.0,38.612394082006695,3.653573315139784,0.9986751343414535,0.0013248656585465035,0.0013248656585465035
