graph_type,n,noise_model,sigma,amplitude,pattern,repetition,detector,signal_location,alpha,threshold,pfa,pd,mean_degree,degree_cv,trace_L,trace_L2,lambda2,lambda_max,signal_norm,signal_euclidean_energy,signal_graph_energy,signal_mahalanobis_energy,signal_max_abs,rayleigh_quotient
barabasi_albert,40,correlated,0.3,0.75,point,2,euclidean,13,0.01,6.040229722734236,0.0099,0.0427,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.75,0.5625,2.25,7.197857152173841,0.75,4.0
barabasi_albert,40,correlated,0.3,0.75,point,2,max_abs,13,0.01,1.0904083064158603,0.0112,0.1381,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.75,0.5625,2.25,7.197857152173841,0.75,4.0
barabasi_albert,40,correlated,0.3,0.75,point,2,mahalanobis,13,0.01,63.58991391857524,0.0105,0.0675,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.75,0.5625,2.25,7.197857152173841,0.75,4.0
barabasi_albert,40,correlated,0.3,0.75,edge_bipolar,2,laplacian,1-6,0.01,30.568717415907773,0.0087,0.1007,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999999,5.624999999999998,7.947024114393173,0.5303300858899106,9.999999999999998
barabasi_albert,40,correlated,0.3,0.75,edge_bipolar,2,euclidean,1-6,0.01,6.040229722734236,0.0099,0.0403,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999999,5.624999999999998,7.947024114393173,0.5303300858899106,9.999999999999998
barabasi_albert,40,correlated,0.3,0.75,edge_bipolar,2,max_abs,1-6,0.01,1.0904083064158603,0.0112,0.076,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999999,5.624999999999998,7.947024114393173,0.5303300858899106,9.999999999999998
barabasi_albert,40,correlated,0.3,0.75,edge_bipolar,2,mahalanobis,1-6,0.01,63.58991391857524,0.0105,0.0796,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7499999999999999,0.5624999999999999,5.624999999999998,7.947024114393173,0.5303300858899106,9.999999999999998
barabasi_albert,40,correlated,0.3,0.75,high_frequency,2,laplacian,lambda_max,0.01,30.568717415907773,0.0087,0.346,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000002,0.5625000000000003,11.452437731968551,8.643447838862125,0.6924898150296493,20.359889301277413
barabasi_albert,40,correlated,0.3,0.75,high_frequency,2,euclidean,lambda_max,0.01,6.040229722734236,0.0099,0.0404,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000002,0.5625000000000003,11.452437731968551,8.643447838862125,0.6924898150296493,20.359889301277413
barabasi_albert,40,correlated,0.3,0.75,high_frequency,2,max_abs,lambda_max,0.01,1.0904083064158603,0.0112,0.1078,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000002,0.5625000000000003,11.452437731968551,8.643447838862125,0.6924898150296493,20.359889301277413
barabasi_albert,40,correlated,0.3,0.75,high_frequency,2,mahalanobis,lambda_max,0.01,63.58991391857524,0.0105,0.0883,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,0.7500000000000002,0.5625000000000003,11.452437731968551,8.643447838862125,0.6924898150296493,20.359889301277413
barabasi_albert,40,correlated,0.3,1.5,constant,2,laplacian,all,0.01,30.568717415907773,0.0087,0.0098,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,1.4999999999999998,2.249999999999999,7.899375304297578e-17,10.775577684203935,0.23717082451262844,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,1.5,constant,2,euclidean,all,0.01,6.040229722734236,0.0099,0.4053,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,1.4999999999999998,2.249999999999999,7.899375304297578e-17,10.775577684203935,0.23717082451262844,3.5108334685767023e-17
barabasi_albert,40,correlated,0.3,1.5,constant,2,max_abs,all,0.01,1.0904083064158603,0.0112,0.0875,5.55,0.6753152191679337,222.0,2016.0,1.454762521179226,20.359889301277423,1.4999999999999998,2.249999999999999,7.899375304297578e-17,10.775577684203935,0.23717082451262844,3.5108334685767023e-17
