graph_type,n,noise_model,sigma,amplitude,pattern,repetition,signal_location,signal_norm,signal_graph_energy,rayleigh_quotient,lambda2,lambda_max,normalized_rayleigh,tau_spectral,pfa_mc,pfa_theory,pd_mc,pd_theory,pd_error,theoretical_mean_shift,empirical_mean_shift,mean_shift_error
star,20,iid,0.15,1.5,fiedler,2,fiedler,1.5000000000000002,2.2500000000000004,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.008,0.010000000001305465,0.2762,0.27448383821631084,0.001716161783689163,2.2500000000000004,2.2573577436737624,0.007357743673761963
star,20,iid,0.15,1.5,cluster,2,16;0;1;2,1.5,9.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.008,0.010000000001305465,0.985,0.9857875452652626,-0.0007875452652625903,9.0,9.021080910807472,0.021080910807471653
star,20,iid,0.15,1.5,point,2,6,1.5,2.25,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.008,0.010000000001305465,0.2632,0.2744513797252513,-0.01125137972525131,2.25,2.2200705208978473,-0.029929479102152712
star,20,iid,0.15,1.5,edge_bipolar,2,0-4,1.4999999999999998,24.75,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.008,0.010000000001305465,1.0,0.9999998445940388,1.55405961210775e-07,24.75,24.59245034599077,-0.15754965400923027
star,20,iid,0.15,1.5,high_frequency,2,lambda_max,1.4999999999999998,45.000000000000014,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.008,0.010000000001305465,1.0,0.9999999999999359,6.405986852087153e-14,45.000000000000014,45.042425039479525,0.04242503947951093
star,20,iid,0.15,3.0,constant,2,all,2.9999999999999996,5.958081967793455e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.008,0.010000000001305465,0.0078,0.010000000001305465,-0.002200000001305465,5.958081967793455e-16,-0.017418504041621596,-0.017418504041622193
star,20,iid,0.15,3.0,fiedler,2,fiedler,3.0000000000000004,9.000000000000002,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.008,0.010000000001305465,1.0,0.9999999999999998,2.220446049250313e-16,9.000000000000002,8.996878794577349,-0.0031212054226532615
star,20,iid,0.15,3.0,cluster,2,19;0;1;2,3.0,36.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.008,0.010000000001305465,1.0,1.0,0.0,36.0,36.02513217456833,0.02513217456832706
star,20,iid,0.15,3.0,point,2,10,3.0,9.0,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.008,0.010000000001305465,1.0,0.9999999999999992,7.771561172376096e-16,9.0,8.98828967289389,-0.011710327106110086
star,20,iid,0.15,3.0,edge_bipolar,2,0-10,2.9999999999999996,99.0,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.008,0.010000000001305465,1.0,0.9999999999992047,7.952527525389996e-13,99.0,98.69633433765622,-0.303665662343775
star,20,iid,0.15,3.0,high_frequency,2,lambda_max,2.9999999999999996,180.00000000000006,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.008,0.010000000001305465,1.0,1.0,0.0,180.00000000000006,179.93864394916736,-0.06135605083269979
star,20,iid,0.15,0.75,constant,3,all,0.7499999999999999,3.7238012298709096e-17,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0108,0.010000000001305465,0.01,0.010000000001305465,-1.3054644171228702e-12,3.7238012298709096e-17,0.003061427318985288,0.003061427318985251
star,20,iid,0.15,0.75,fiedler,3,fiedler,0.7500000000000001,0.5625000000000001,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0108,0.010000000001305465,0.0236,0.02127229613370607,0.0023277038662939294,0.5625000000000001,0.5606580183748631,-0.0018419816251370458
star,20,iid,0.15,0.75,cluster,3,18;0;1;2,0.75,2.25,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0108,0.010000000001305465,0.3626,0.3567302927674738,0.005869707232526167,2.25,2.255869131162071,0.005869131162071106
star,20,iid,0.15,0.75,point,3,10,0.75,0.5625,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0108,0.010000000001305465,0.0214,0.02455470509498614,-0.003154705094986141,0.5625,0.5461922802477135,-0.01630771975228651
star,20,iid,0.15,0.75,edge_bipolar,3,0-12,0.7499999999999999,6.1875,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0108,0.010000000001305465,0.8706,0.8770594196063675,-0.0064594196063674225,6.1875,6.281000216877674,0.09350021687767374
star,20,iid,0.15,0.75,high_frequency,3,lambda_max,0.7499999999999999,11.250000000000004,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0108,0.010000000001305465,0.9894,0.9921448187760316,-0.00274481877603161,11.250000000000004,11.249747796165318,-0.00025220383468571583
star,20,iid,0.15,1.5,constant,3,all,1.4999999999999998,1.4895204919483638e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0108,0.010000000001305465,0.01,0.010000000001305465,-1.3054644171228702e-12,1.4895204919483638e-16,0.002459832452402999,0.0024598324524028503
star,20,iid,0.15,1.5,fiedler,3,fiedler,1.5000000000000002,2.2500000000000004,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0108,0.010000000001305465,0.277,0.27448383821631084,0.002516161783689186,2.2500000000000004,2.2515004360942488,0.0015004360942483252
star,20,iid,0.15,1.5,cluster,3,19;0;1;2,1.5,9.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0108,0.010000000001305465,0.9828,0.9857875452652626,-0.00298754526526257,9.0,8.959297409840026,-0.040702590159973795
star,20,iid,0.15,1.5,point,3,12,1.5,2.25,1.0,0.999999999999999,20.0,0.05,3.4028450363590803,0.0108,0.010000000001305465,0.2728,0.274451379725251,-0.0016513797252510343,2.25,2.244669028406224,-0.005330971593775935
star,20,iid,0.15,1.5,edge_bipolar,3,0-2,1.4999999999999998,24.75,11.000000000000002,0.999999999999999,20.0,0.55,3.4028450363590803,0.0108,0.010000000001305465,1.0,0.9999998445940388,1.55405961210775e-07,24.75,24.718034945946528,-0.031965054053472386
star,20,iid,0.15,1.5,high_frequency,3,lambda_max,1.4999999999999998,45.000000000000014,20.00000000000001,0.999999999999999,20.0,1.0000000000000004,3.4028450363590803,0.0108,0.010000000001305465,1.0,0.9999999999999359,6.405986852087153e-14,45.000000000000014,45.12595745707116,0.12595745707114503
star,20,iid,0.15,3.0,constant,3,all,2.9999999999999996,5.958081967793455e-16,6.620091075326063e-17,0.999999999999999,20.0,3.3100455376630313e-18,3.4028450363590803,0.0108,0.010000000001305465,0.0146,0.010000000001305465,0.0045999999986945355,5.958081967793455e-16,0.013052967551137828,0.013052967551137233
star,20,iid,0.15,3.0,fiedler,3,fiedler,3.0000000000000004,9.000000000000002,0.9999999999999998,0.999999999999999,20.0,0.04999999999999999,3.4028450363590803,0.0108,0.010000000001305465,1.0,0.9999999999999998,2.220446049250313e-16,9.000000000000002,8.976505098808122,-0.02349490119187969
star,20,iid,0.15,3.0,cluster,3,8;0;1;2,3.0,36.0,4.0,0.999999999999999,20.0,0.2,3.4028450363590803,0.0108,0.010000000001305465,1.0,1.0,0.0,36.0,35.880657625509244,-0.11934237449075624
